split,transition,risk_level,audit_result,primary_anomaly_type,case_count
test_clean,both_correct,high,manual_review,unreadable_image,29
test_clean,both_correct,high,missing_info,missing_document,35
test_clean,both_correct,high,reject_recommendation,applicant_mismatch,34
test_clean,both_correct,high,reject_recommendation,merchant_mismatch,39
test_clean,both_correct,high,reject_recommendation,order_id_mismatch,13
test_clean,both_correct,high,reject_recommendation,over_reimbursement,9
test_clean,both_correct,low,pass,none,41
test_clean,both_correct,medium,manual_review,amount_mismatch,21
test_clean,both_correct,medium,manual_review,over_reimbursement,15
test_clean,both_correct,medium,manual_review,unreadable_image,16
test_clean,both_correct,medium,missing_info,missing_document,10
test_clean,both_wrong,high,manual_review,unreadable_image,1
test_clean,both_wrong,high,missing_info,missing_document,2
test_clean,both_wrong,high,reject_recommendation,amount_mismatch,5
test_clean,both_wrong,high,reject_recommendation,applicant_mismatch,3
test_clean,both_wrong,high,reject_recommendation,date_mismatch,15
test_clean,both_wrong,high,reject_recommendation,duplicate_in_batch,50
test_clean,both_wrong,high,reject_recommendation,merchant_mismatch,7
test_clean,both_wrong,high,reject_recommendation,order_id_mismatch,28
test_clean,both_wrong,high,reject_recommendation,over_reimbursement,5
test_clean,both_wrong,low,pass,none,6
test_clean,both_wrong,medium,manual_review,amount_mismatch,2
test_clean,both_wrong,medium,manual_review,date_mismatch,35
test_clean,both_wrong,medium,manual_review,unreadable_image,2
test_clean,both_wrong,medium,missing_info,missing_document,1
test_clean,m2_correct_to_m3_wrong,high,manual_review,unreadable_image,1
test_clean,m2_correct_to_m3_wrong,high,missing_info,missing_document,2
test_clean,m2_correct_to_m3_wrong,high,reject_recommendation,amount_mismatch,21
test_clean,m2_correct_to_m3_wrong,high,reject_recommendation,applicant_mismatch,10
test_clean,m2_correct_to_m3_wrong,high,reject_recommendation,merchant_mismatch,3
test_clean,m2_correct_to_m3_wrong,high,reject_recommendation,order_id_mismatch,4
test_clean,m2_correct_to_m3_wrong,high,reject_recommendation,over_reimbursement,20
test_clean,m2_correct_to_m3_wrong,low,pass,none,2
test_clean,m2_correct_to_m3_wrong,medium,manual_review,over_reimbursement,1
test_clean,m2_correct_to_m3_wrong,medium,manual_review,unreadable_image,1
